Modo,Rota,Custo
GRASP - Distância,"ANGICOS
 NATAL
 MOSSORÓ
 SÃO GONÇALO DO AMARANTE
 PARELHAS
 MACAÍBA
 IPANGUAÇU
 EXTREMOZ
 CARAÚBAS
 CANGUARETAMA
 TANGARÁ
 ALEXANDRIA
 JARDIM DE PIRANHAS
 POÇO BRANCO
 CAICÓ
 SÃO PAULO DO POTENGI
 ACARI
  CURRAIS NOVOS
 SÃO JOSÉ DO MIPIBÚ
 PARNAMIRIM
 AREIA BRANCA
 APODI
 AFONSO BEZERRA
 JOÃO CÂMARA
 SÃO RAFAEL
 PEDRO AVELINO
 MACAU
 SÃO MIGUEL
 BARAÚNA
 CEARÁ-MIRIM
 NÍSIA FLORESTA
 MONTE ALEGRE
 PAU DOS FERROS
 SÃO JOSÉ DO CAMPESTRE
 GOIANINHA
 UPANEMA
 SANTO ANTÔNIO
 TAIPU
 NOVA CRUZ
 PEDRO VELHO
 JUCURUTU
 TOUROS
 SANTA CRUZ
 ITAJÁ
 FERNANDO PEDROSA
 LAJES
 SANTANA DO MATOS
 ASSÚ
 ANGICOS
 ",273
GRASP - Tempo,"ANGICOS
 JOÃO CÂMARA
 CURRAIS NOVOS
 JUCURUTU
 ASSÚ
 ITAJÁ
 SÃO RAFAEL
 PEDRO AVELINO
 FERNANDO PEDROSA
 SANTA CRUZ
 SANTANA DO MATOS
 LAJES
 MOSSORÓ
 PEDRO VELHO
 EXTREMOZ
 NATAL
 APODI
 ALEXANDRIA
 ACARI
 SÃO JOSÉ DO MIPIBÚ
 PARNAMIRIM
 JARDIM DE PIRANHAS
 SÃO JOSÉ DO CAMPESTRE
 SÃO MIGUEL
 CARAÚBAS
 AREIA BRANCA
 CEARÁ-MIRIM
 CAICÓ
 POÇO BRANCO
 SÃO PAULO DO POTENGI
 SANTO ANTÔNIO
 MACAU
 NÍSIA FLORESTA
 TAIPU
 TOUROS
 PARELHAS
 BARAÚNA
 MONTE ALEGRE
 SÃO GONÇALO DO AMARANTE
 NOVA CRUZ
 MACAÍBA
 PAU DOS FERROS
 CANGUARETAMA
 UPANEMA
  IPANGUAÇU
 TANGARÁ
 GOIANINHA
 AFONSO BEZERRA
 ANGICOS
 ",1921
