Modo,Rota,Custo
Distância - 2-opt,"ANGICOS
 FERNANDO PEDROSA
 LAJES
 SÃO JOSÉ DO MIPIBÚ
 SÃO MIGUEL
 SANTA CRUZ
 PEDRO AVELINO
 SANTANA DO MATOS
 MOSSORÓ
 ASSÚ
 NATAL
 JUCURUTU
 ITAJÁ
 SÃO RAFAEL
 CAICÓ
 SANTO ANTÔNIO
 JOÃO CÂMARA
 SÃO PAULO DO POTENGI
 TOUROS
 CURRAIS NOVOS
 MACAU
 IPANGUAÇU
 TANGARÁ
 NOVA CRUZ
 GOIANINHA
 APODI
 ACARI
 EXTREMOZ
 MONTE ALEGRE
 AREIA BRANCA
 BARAÚNA
 CEARÁ-MIRIM
 CANGUARETAMA
 AFONSO BEZERRA
 SÃO GONÇALO DO AMARANTE
 PARNAMIRIM
 MACAÍBA
 PAU DOS FERROS
 TAIPU
 NÍSIA FLORESTA
 UPANEMA
 PEDRO VELHO
 PARELHAS
 CARAÚBAS
 JARDIM DE PIRANHAS
 SÃO JOSÉ DO CAMPESTRE
  POÇO BRANCO
 ALEXANDRIA
 ANGICOS
 ",1268
Tempo - 2-opt,"ANGICOS
 SÃO RAFAEL
 PEDRO AVELINO
 FERNANDO PEDROSA
 JOÃO CÂMARA
 EXTREMOZ
 NATAL
 APODI
 ALEXANDRIA
 ACARI
 SÃO JOSÉ DO MIPIBÚ
 PARNAMIRIM
 JARDIM DE PIRANHAS
 SÃO JOSÉ DO CAMPESTRE
 SÃO MIGUEL
 CARAÚBAS
 AREIA BRANCA
 CEARÁ-MIRIM
 CAICÓ
 POÇO BRANCO
 TAIPU
 TOUROS
 PARELHAS
 BARAÚNA
 MONTE ALEGRE
 SÃO GONÇALO DO AMARANTE
 NOVA CRUZ
 NÍSIA FLORESTA
 MACAÍBA
 AFONSO BEZERRA
 GOIANINHA
 TANGARÁ
 IPANGUAÇU
  UPANEMA
 CANGUARETAMA
 PAU DOS FERROS
 MACAU
 SÃO PAULO DO POTENGI
 SANTO ANTÔNIO
 SANTA CRUZ
 SANTANA DO MATOS
 LAJES
 MOSSORÓ
 PEDRO VELHO
 JUCURUTU
 ASSÚ
 CURRAIS NOVOS
 ITAJÁ
 ANGICOS
 ",2003
