Problema,Número de Cidades,Rota,Custo,Tempo(ms),Modo
1,48,"ANGICOS
 ITAJÁ
 NATAL
 JUCURUTU
 PEDRO AVELINO
 CAICÓ
 NOVA CRUZ
 PEDRO VELHO
 SÃO PAULO DO POTENGI
 NÍSIA FLORESTA
 ALEXANDRIA
 SÃO JOSÉ DO CAMPESTRE
 GOIANINHA
 TAIPU
 CANGUARETAMA
 MACAU
 UPANEMA
 IPANGUAÇU
 CARAÚBAS
 CEARÁ-MIRIM
 APODI
 MONTE ALEGRE
 TANGARÁ
 TOUROS
 PARNAMIRIM
 EXTREMOZ
 ACARI
 AREIA BRANCA
 POÇO BRANCO
 SANTO ANTÔNIO
 SÃO MIGUEL
 BARAÚNA
 SÃO GONÇALO DO AMARANTE
 PARELHAS
 PAU DOS FERROS
 JARDIM DE PIRANHAS
 MACAÍBA
 CURRAIS NOVOS
 AFONSO BEZERRA
 JOÃO CÂMARA
 LAJES
 SANTANA DO MATOS
 MOSSORÓ
 FERNANDO PEDROSA
 SANTA CRUZ
 ASSÚ
 SÃO RAFAEL
 SÃO JOSÉ DO MIPIBÚ
 ANGICOS
 ",160,0,Distância
1,48,"ANGICOS
 ITAJÁ
 CURRAIS NOVOS
 JUCURUTU
 ASSÚ
 SÃO RAFAEL
 PEDRO AVELINO
 JOÃO CÂMARA
 FERNANDO PEDROSA
 SANTA CRUZ
 SANTANA DO MATOS
 LAJES
 MOSSORÓ
 PEDRO VELHO
 EXTREMOZ
 NATAL
 APODI
 ACARI
 ALEXANDRIA
 PARNAMIRIM
 SÃO JOSÉ DO MIPIBÚ
 JARDIM DE PIRANHAS
 SÃO JOSÉ DO CAMPESTRE
 SÃO MIGUEL
 CARAÚBAS
 AREIA BRANCA
 CEARÁ-MIRIM
 CAICÓ
 POÇO BRANCO
 SÃO PAULO DO POTENGI
 SANTO ANTÔNIO
 MACAU
 PAU DOS FERROS
 TANGARÁ
 IPANGUAÇU
 UPANEMA
 CANGUARETAMA
 GOIANINHA
 NÍSIA FLORESTA
 TOUROS
 TAIPU
 SÃO GONÇALO DO AMARANTE
 NOVA CRUZ
 BARAÚNA
 PARELHAS
 MONTE ALEGRE
 MACAÍBA
 AFONSO BEZERRA
 ANGICOS
 ",2071,0,Tempo
2,36,"ANGICOS
 ITAJÁ
 NATAL
 JUCURUTU
 PEDRO AVELINO
 CAICÓ
 NOVA CRUZ
 MACAU
 EXTREMOZ
 ACARI
 MONTE ALEGRE
 CEARÁ-MIRIM
 SÃO MIGUEL
 BARAÚNA
 TOUROS
 PARNAMIRIM
 AREIA BRANCA
 SÃO GONÇALO DO AMARANTE
 PAU DOS FERROS
 APODI
 GOIANINHA
 NÍSIA FLORESTA
 CANGUARETAMA
 MACAÍBA
 IPANGUAÇU
 CURRAIS NOVOS
 AFONSO BEZERRA
 JOÃO CÂMARA
 LAJES
 SANTANA DO MATOS
 MOSSORÓ
 FERNANDO PEDROSA
 SANTA CRUZ
 ASSÚ
 SÃO RAFAEL
 SÃO JOSÉ DO MIPIBÚ
 ANGICOS
 ",167,0,Distância
2,36,"ANGICOS
 SÃO JOSÉ DO MIPIBÚ
 PARNAMIRIM
 ACARI
 APODI
 NATAL
 EXTREMOZ
 ITAJÁ
 CURRAIS NOVOS
 JUCURUTU
 ASSÚ
 SÃO RAFAEL
 PEDRO AVELINO
 JOÃO CÂMARA
 FERNANDO PEDROSA
 SANTA CRUZ
 SANTANA DO MATOS
 LAJES
 MOSSORÓ
 SÃO MIGUEL
 AREIA BRANCA
 CEARÁ-MIRIM
 CAICÓ
 MACAU
 PAU DOS FERROS
 IPANGUAÇU
 CANGUARETAMA
 GOIANINHA
 NÍSIA FLORESTA
 SÃO GONÇALO DO AMARANTE
 NOVA CRUZ
 TOUROS
 BARAÚNA
 MONTE ALEGRE
 MACAÍBA
 AFONSO BEZERRA
 ANGICOS
 ",1571,0,Tempo
3,24,"ANGICOS
 ITAJÁ
 NATAL
 JUCURUTU
 PEDRO AVELINO
 CAICÓ
 MACAU
 SÃO MIGUEL
 SÃO GONÇALO DO AMARANTE
